Neighbourhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Baix Guinardó,Japanese Restaurant,Tapas Restaurant,Bar,Restaurant,Bakery,Café,Grocery Store,Gym,Supermarket,Breakfast Spot
Barrio Gótico,Ice Cream Shop,Tapas Restaurant,Plaza,Italian Restaurant,Bar,Hotel,Mediterranean Restaurant,Spanish Restaurant,Coffee Shop,Pizza Place
Baró de Viver,Asian Restaurant,Metro Station,Supermarket,Deli / Bodega,Furniture / Home Store,Dessert Shop,Pet Store,Restaurant,Falafel Restaurant,Farm
Camp d'en Grassot i Gràcia Nova,Tapas Restaurant,Bakery,Gym,Japanese Restaurant,Bar,Spanish Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Sushi Restaurant
Can Baró,Spanish Restaurant,Scenic Lookout,Tapas Restaurant,Chinese Restaurant,Grocery Store,Italian Restaurant,Soccer Stadium,Soccer Field,Breakfast Spot,Restaurant
Can Peguera,Escape Room,Fast Food Restaurant,Sports Club,Food & Drink Shop,Hostel,Supermarket,Café,Park,Gym / Fitness Center,Tapas Restaurant
Canyelles,Market,Soccer Field,Skate Park,Plaza,Café,Mediterranean Restaurant,Yoga Studio,Falafel Restaurant,Farm,Farmers Market
Ciudad Meridiana,Metro Station,Grocery Store,Park,Supermarket,Mediterranean Restaurant,Filipino Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Congrés i els Indians,Tapas Restaurant,Restaurant,Pizza Place,Grocery Store,Cocktail Bar,Supermarket,Chinese Restaurant,Furniture / Home Store,Dog Run,Bar
Diagonal Mar i Front Marítim del Poblenou,Mediterranean Restaurant,Restaurant,Hotel,Beach,Italian Restaurant,Beach Bar,Bistro,Flea Market,Buffet,Thai Restaurant
El Besòs i el Maresme,Hotel,Diner,Spanish Restaurant,Coffee Shop,Bakery,Supermarket,Climbing Gym,Gym / Fitness Center,Big Box Store,Restaurant
El Buen Pastor,Café,Electronics Store,Mediterranean Restaurant,Athletics & Sports,Restaurant,Yoga Studio,Filipino Restaurant,Farm,Farmers Market,Fast Food Restaurant
