Neighbourhood,TOTAL,0-14,15-29,30-44,45-59,60-74,75-89,>=90
El Raval,47353,5993,10382,14562,9113,4512,2375,416
Barrio Gótico,18629,1425,4742,6147,3382,1829,915,189
La Barceloneta,14857,1146,3140,4503,2774,1788,1310,196
"Sant Pere, Santa Caterina i la Ribera",22590,2116,4997,7143,4224,2406,1458,246
El Fort Pienc,32349,3706,5455,8028,6338,5223,3049,550
Sagrada Familia,51385,5292,8423,12545,10390,8567,5132,1036
La Derecha del Ensanche,43515,5086,7424,10215,8835,6891,4077,987
L'Antiga Esquerra de l'Eixample,42393,4558,7532,10458,8421,6496,4021,907
La Nova Esquerra de l'Eixample,58032,6108,9606,13909,11168,10275,5917,1049
Sant Antoni,38236,3987,6022,9718,7795,5876,4053,785
Poble Sec,39995,4569,6768,11789,8209,5057,3144,459
La Marina del Prat Vermell,1196,153,194,291,263,177,102,16
La Marina de Port,30958,4115,5220,6307,7311,4736,2953,316
La Font de la Guatlla,10265,1014,1677,2405,2173,1779,1033,184
Hostafrancs,16014,1810,2640,4349,3137,2589,1285,204
La Bordeta,19346,2274,2857,4512,4059,3445,1908,291
Sants-Badal,24312,2693,3793,5808,4976,4370,2331,341
Sants,42005,4807,6703,10691,8540,6558,4059,647
Les Corts,46274,5589,6837,9682,8923,9269,5176,798
La Maternitat i Sant Ramon,23836,2880,3558,4958,4537,4763,2756,384
Pedralbes,11864,1850,2017,2054,2361,1981,1363,238
"Vallvidrera, el Tibidabo i les Planes",4698,839,761,903,1186,687,275,47
Sarrià,24901,4414,4081,4574,5175,3636,2451,570
Las Tres Torres,16591,2841,2990,2771,3572,2513,1592,312
Sant Gervasi-Bonanova,25919,4106,4568,4613,5375,4094,2613,550
Sant Gervasi-Galvany,47588,6910,8354,8697,10310,7340,5001,976
El Putxet i Farró,29563,4125,5002,6365,6115,4733,2703,520
Vallcarca i els Penitents,15979,2192,2352,3565,3337,2608,1635,290
El Coll,7459,944,1196,1737,1645,1171,682,84
La Salut,13347,1711,1969,3081,2478,2440,1429,239
Vila de Gràcia,50102,5828,7951,14454,9712,6860,4353,944
Camp d'en Grassot i Gràcia Nova,34911,4031,5288,8424,6797,6174,3591,606
Baix Guinardó,25823,2830,3821,5864,5262,4389,3050,607
Can Baró,9198,1115,1403,2169,1926,1512,936,137
El Guinardó,37047,4576,5520,8735,7880,5903,3850,583
La Font d'en Fargues,9481,1331,1336,1809,2134,1776,943,152
El Carmelo,32044,4134,4884,7399,6820,5088,3367,352
La Teixonera,11735,1416,1884,2644,2643,1848,1151,149
Sant Genís dels Agudells,7241,876,1174,1482,1518,1044,1030,117
Montbau,5109,581,751,988,1162,567,860,200
La Vall d'Hebrón,5794,698,796,1096,1291,1089,721,103
La Clota,683,114,90,221,156,43,50,9
Horta,27340,3438,3982,5671,5964,4537,3271,477
Vilapicina i La Torre Llobeta,25805,3084,3777,5425,5520,4550,2979,470
Porta,26446,3241,3895,6075,5655,4004,3197,379
Turó de la Peira,15710,2183,2528,3402,3507,1820,1917,353
Can Peguera,2288,321,364,444,516,342,260,41
La Guineueta,15361,1912,2058,2877,3328,2749,2178,259
Canyelles,6879,773,923,1235,1442,1623,807,76
Les Roquetes,16156,2423,2865,3854,3293,2295,1304,122
Verdún,12531,1655,1976,2857,2707,1806,1377,153
La Prosperitat,26785,3355,4080,5762,5554,4310,3387,337
La Trinitat Nova,7591,1104,1319,1734,1627,1078,619,110
Torre Baró,2914,521,542,654,681,343,155,18
Ciudad Meridiana,10798,1801,2053,2513,2120,1334,919,58
Vallbona,1405,252,202,354,283,169,119,26
La Trinitat Vella,10285,1756,1883,2495,2154,1246,678,73
Baró de Viver,2597,425,442,573,576,362,190,29
El Buen Pastor,13084,2264,2077,2955,2959,1662,1046,121
San Andrés,57843,7699,7871,12956,12633,10579,5351,754
La Sagrera,29353,3514,4202,6547,5948,5761,2960,421
Congrés i els Indians,14483,1798,2186,3239,3274,2057,1607,322
Navas,22176,2537,3338,4844,4793,3910,2388,366
El Camp de l'Arpa del Clot,38663,4206,5774,9649,7764,6793,3821,656
El Clot,27041,3377,4235,6115,6011,4742,2215,346
El Parc i la Llacuna del Poblenou,15461,1926,2430,4108,2973,2534,1293,197
La Vila Olímpica del Poblenou,9261,1365,1717,1749,2351,1590,433,56
Poble Nou,33861,5288,4592,8856,7880,4318,2439,488
Diagonal Mar i Front Marítim del Poblenou,13501,2542,1529,3595,3229,1580,924,102
El Besòs i el Maresme,24673,3657,4318,5967,5093,3286,2079,273
Provençals del Poblenou,21002,3008,3068,5159,4811,3074,1675,207
Sant Martí de Provençals,26061,3090,3660,5377,5749,4422,3340,423
La Verneda i la Pau,28791,3456,4173,5760,6103,5179,3695,425
