NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
1,Ciutat Vella,1,El Raval,0.9979576984483002,0.9794438849682897,0.8159808381582575,0.28617363344051444,0.7784127808806338,1.0,1.0,0.721364679806855,0.4265053407694489,0.4013858374176103,0.3965681601525262,0.9438815276695246,0.8430232558139535,0.6666666666666666
1,Ciutat Vella,2,Barrio Gótico,0.9980512032066216,0.9833032240054944,0.3210125448028674,0.4264469453376205,0.18508897259384335,0.4567520708919283,0.4221260815822003,0.267711549117391,0.1728896871159845,0.15463917525773196,0.1801715919923737,0.46586126266562744,0.4593023255813954,1.0
1,Ciutat Vella,3,La Barceloneta,0.9979850883412679,0.9891822782345809,0.256013923352633,0.31993569131832794,0.1488505000649435,0.30244654209208244,0.3092295014421096,0.21958363017493865,0.16901408450704225,0.22139597769139766,0.18684461391801716,0.2947778643803585,0.75,0.08333333333333333
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",0.9981700334264257,0.9835285301596545,0.3892679900744417,0.3995176848874598,0.27484088842706844,0.4813138123675592,0.49052327976926247,0.33436238423177395,0.227431704319879,0.2464086530336319,0.23450905624404195,0.46289945440374125,0.6569767441860466,0.5
2,Eixample,5,El Fort Pienc,0.998353389188746,0.9857480758298848,0.557433829611249,0.4280546623794212,0.48136121574230417,0.5254286264688884,0.5512978986402967,0.5017018918704979,0.4937139616220815,0.51529491296265,0.5243088655862727,0.5838919199792154,0.4302325581395349,0.08333333333333333
2,Eixample,6,Sagrada Familia,0.9985355776790582,0.9821732752525739,0.8854597463468431,0.40916398713826363,0.6873619950642941,0.8113080331342708,0.861488806482626,0.8224491411382886,0.8098118914831269,0.8673314179482846,0.9876072449952336,0.9095349441413354,0.436046511627907,0.3333333333333333
2,Eixample,7,La Derecha del Ensanche,0.9983204788709297,0.9792768476471022,0.7498449131513648,0.7069935691318328,0.6606052734121315,0.7150837988826816,0.7014833127317676,0.6993588221325101,0.6513848189810001,0.6890316038533041,0.9408960915157293,0.7673421667965705,0.36627906976744184,0.8333333333333334
2,Eixample,8,L'Antiga Esquerra de l'Eixample,0.9982105044833858,0.9734056981046593,0.730510752688172,0.5514469453376205,0.5920249383036758,0.7254864188017723,0.7181705809641533,0.6665875089052482,0.6140466962850931,0.6795673483184046,0.8646329837940896,0.7663029358274877,0.38372093023255816,0.8333333333333334
2,Eixample,9,La Nova Esquerra de l'Eixample,0.9980510657386372,0.9706955198268739,1.0,0.4429260450160772,0.7933497856864528,0.925255249470237,0.9551572586183217,0.8840338795218872,0.9712638245580868,1.0,1.0,1.0,0.4302325581395349,0.3333333333333333
2,Eixample,10,Sant Antoni,0.9979310248358827,0.9764626436930879,0.6588778604907637,0.4188102893890675,0.517859462267827,0.5800423810441148,0.6673533855239665,0.6170347502572627,0.5554400226864543,0.6849754943383471,0.7483317445185891,0.6787477266822551,0.4767441860465116,0.25
