NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
1,Ciutat Vella,1,El Raval,41.37951760000001,2.1683678,47353,71.2,5993,10382,14562,9113,4512,2375,416,36330,14.5,8.0
1,Ciutat Vella,2,Barrio Gótico,41.3833947,2.1769119,18629,106.1,1425,4742,6147,3382,1829,915,189,17931,7.9,12.0
1,Ciutat Vella,3,La Barceloneta,41.3806533,2.1899274,14857,79.6,1146,3140,4503,2774,1788,1310,196,11346,12.9,1.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",41.3883219,2.1774107000000003,22590,99.4,2116,4997,7143,4224,2406,1458,246,17817,11.3,6.0
2,Eixample,5,El Fort Pienc,41.3959246,2.1823245,32349,106.5,3706,5455,8028,6338,5223,3049,550,22474,7.4,1.0
2,Eixample,6,Sagrada Familia,41.4034789,2.174410333009705,51385,101.8,5292,8423,12545,10390,8567,5132,1036,35008,7.5,4.0
2,Eixample,7,La Derecha del Ensanche,41.39456,2.167998,43515,175.9,5086,7424,10215,8835,6891,4077,987,29535,6.3,10.0
2,Eixample,8,L'Antiga Esquerra de l'Eixample,41.39,2.155,42393,137.2,4558,7532,10458,8421,6496,4021,907,29495,6.6,10.0
2,Eixample,9,La Nova Esquerra de l'Eixample,41.383389,2.149,58032,110.2,6108,9606,13909,11168,10275,5917,1049,38490,7.4,4.0
2,Eixample,10,Sant Antoni,41.37841160000001,2.1617677000000004,38236,104.2,3987,6022,9718,7795,5876,4053,785,26125,8.2,3.0
3,Sants-Montjuïc,11,Poble Sec,41.369717,2.1583360000000003,39995,82.2,4569,6768,11789,8209,5057,3144,459,28752,10.8,0.0
3,Sants-Montjuïc,12,La Marina del Prat Vermell,41.3538419,2.1423184,1196,40.0,153,194,291,263,177,102,16,845,17.0,0.0
3,Sants-Montjuïc,13,La Marina de Port,41.3602964,2.1375842,30958,69.3,4115,5220,6307,7311,4736,2953,316,20742,11.0,0.0
3,Sants-Montjuïc,14,La Font de la Guatlla,41.3707824,2.1446756,10265,82.9,1014,1677,2405,2173,1779,1033,184,6868,11.3,2.0
3,Sants-Montjuïc,15,Hostafrancs,41.3750877,2.1429334,16014,99.0,1810,2640,4349,3137,2589,1285,204,11193,8.3,0.0
3,Sants-Montjuïc,16,La Bordeta,41.3691417,2.1373733,19346,79.0,2274,2857,4512,4059,3445,1908,291,12732,8.6,0.0
3,Sants-Montjuïc,17,Sants-Badal,41.375466,2.1277096,24312,81.0,2693,3793,5808,4976,4370,2331,341,16538,6.8,1.0
3,Sants-Montjuïc,18,Sants,41.37532879999999,2.1349117000000004,42005,99.0,4807,6703,10691,8540,6558,4059,647,29727,7.4,2.0
4,Les Corts,19,Les Corts,41.385244,2.1328626,46274,120.0,5589,6837,9682,8923,9269,5176,798,28434,7.8,1.0
4,Les Corts,20,La Maternitat i Sant Ramon,41.3820766,2.1254831000000003,23836,114.2,2880,3558,4958,4537,4763,2756,384,14523,7.7,2.0
