Neighbourhood,Venue Latitude,Venue Longitude,Venue,Venue Category
El Raval,41.37949971573528,2.170463226095951,La Robadora,Gastropub
El Raval,41.38009591524072,2.169054173364087,A Tu Bola,Tapas Restaurant
El Raval,41.38105850000668,2.167399262040874,33/45,Cocktail Bar
El Raval,41.380939,2.167959,Teddys - Libanés,Fast Food Restaurant
El Raval,41.380124308513615,2.1691978203880504,Ølgod,Beer Bar
El Raval,41.37854031238799,2.171100584858405,Filmoteca de Catalunya,Movie Theater
El Raval,41.3795810931896,2.170602825214247,Robadors 23,Jazz Club
El Raval,41.38087519007823,2.170135601187659,Jardins de Rubió i Lluch,Garden
El Raval,41.380950875600554,2.1700795010514637,Biblioteca de Catalunya: Teatre,Theater
El Raval,41.378212,2.170341,Suculent,Mediterranean Restaurant
El Raval,41.37863553875484,2.1706684402250858,Ófis Restaurant,Mediterranean Restaurant
El Raval,41.3794699100902,2.1706526791762295,Madame Ramen,Ramen Restaurant
El Raval,41.37997449220553,2.164890584751975,Bodega Armando,Wine Bar
El Raval,41.38234896543694,2.168812344861435,Carlota Akaneya,Japanese Restaurant
El Raval,41.38233748488436,2.1688183373821532,Caravelle,Café
El Raval,41.38130687004929,2.1714367613026337,Bacaro,Italian Restaurant
El Raval,41.381848645621595,2.169511367944632,Llop,Restaurant
El Raval,41.38205493742651,2.166349410834469,NØMAD Every Day,Coffee Shop
El Raval,41.381933202175816,2.169548429184673,Tosca Del Carme,Restaurant
El Raval,41.37636913195219,2.1691479305243284,El Pachuco,Mexican Restaurant
El Raval,41.380309715021966,2.172340440527317,Asian Restaurant,Asian Restaurant
El Raval,41.382046,2.1664028,Made in Sicily,Pizza Place
El Raval,41.37915352642744,2.1730924282122515,Cañete,Tapas Restaurant
El Raval,41.38222323239239,2.165922262785513,Discos Paradiso,Record Shop
El Raval,41.379830986064334,2.1641131912501774,JazzSí Club Taller de Músics,Jazz Club
El Raval,41.38197717824096,2.1664426993704535,Bismillah Kebabish,Falafel Restaurant
El Raval,41.38296052918113,2.1699479876928884,Chivuo's,Sandwich Place
El Raval,41.37790546295147,2.1729111671447754,Pizza Circus,Pizza Place
El Raval,41.380388207470226,2.164356903335585,Foxy Bar,Bar
El Raval,41.37844954246539,2.172683416699777,Frankie Gallo Cha Cha Cha,Pizza Place
El Raval,41.377521047855915,2.1641993522644043,Pummarola,Pizza Place
El Raval,41.382613,2.169244,Azul Frida,Mexican Restaurant
El Raval,41.38358596080116,2.1689486932103805,La Central del Raval,Bookstore
El Raval,41.38030151923886,2.172812588001186,Hostal OperaRamblas,Hostel
El Raval,41.38189299791277,2.1715822647093717,Bar Boqueria,Spanish Restaurant
El Raval,41.38327903816885,2.1685318760048267,Camper,Shoe Store
El Raval,41.382651951735994,2.165693039831818,Bodega Berlanga,Bar
El Raval,41.38229,2.166031,Muns raval,Empanada Restaurant
El Raval,41.382389768079136,2.170513260395956,Hotel Curious,Hotel
El Raval,41.380713238498885,2.1736061650627523,Liceu Opera Barcelona (Gran Teatro del Liceo),Opera House
El Raval,41.375893165450755,2.1680238723052314,Ca l'Isidre,Spanish Restaurant
El Raval,41.37585161885827,2.167776489130006,Domino Bar by Bierzofood,Cocktail Bar
El Raval,41.37814135230529,2.1733100585689993,Pastelería La Estrella,Pie Shop
El Raval,41.37894970435067,2.1637459296033508,Sésamo,Vegetarian / Vegan Restaurant
El Raval,41.38294179408072,2.1684600039041517,Óptica Bassol,Optical Shop
El Raval,41.38369735,2.16885058,Barcentral,Café
El Raval,41.382944496809316,2.167050319275195,MACBA Skate Spot,Skate Park
El Raval,41.375589194805286,2.17049320007949,macera,Cocktail Bar
El Raval,41.3755204425638,2.1679624915122986,La Confitería,Cocktail Bar
El Raval,41.38039623008049,2.1644141880119263,Rabipelao Rawalistan,Burger Joint
El Raval,41.38140436874548,2.1638397714158417,Absenta del Raval,Cocktail Bar
El Raval,41.38202001636631,2.1656172503952353,Flamingo's Vintage,Thrift / Vintage Store
El Raval,41.38167753754876,2.1644544945732314,Bagel Hood,Bagel Shop
El Raval,41.37988988318962,2.163319060929621,Bouzu,Japanese Restaurant
El Raval,41.37729027530231,2.163655291950481,Anardi,Tapas Restaurant
El Raval,41.383265,2.168396,La Masía,Pub
El Raval,41.38371158241776,2.166530396321491,Laie CCCB,Bookstore
El Raval,41.38371998360233,2.1665284351702514,Centre de Cultura Contemporània de Barcelona (CCCB),Cultural Center
El Raval,41.38340433331596,2.1706803944457267,Hotel 1898,Hotel
El Raval,41.38172259074735,2.173348181966682,Kӕlderkold,Beer Bar
El Raval,41.38303568345616,2.167153338174796,Museu d'Art Contemporani de Barcelona (MACBA) (Museo de Arte Contemporáneo de Barcelona (MACBA)),Art Museum
El Raval,41.38325302798727,2.170433675626059,Bar Lobo,Tapas Restaurant
El Raval,41.37939764184635,2.163129717263596,Mercat de Sant Antoni,Market
El Raval,41.383135550814266,2.1651895076858816,Two schmucks,Cocktail Bar
El Raval,41.37891970695072,2.1741027190820796,Palau Güell (Palacio Güell),Monument / Landmark
El Raval,41.3823712,2.1659171000000015,Casa Almirall,Bar
El Raval,41.3772509754473,2.163455886556543,Barna-Brew,Beer Bar
El Raval,41.383083,2.170809,Granja M. Viader,Café
El Raval,41.37551308518347,2.1680829706065032,Ultramarinos Hendrick's Bar,Cocktail Bar
El Raval,41.38115751691078,2.1732798149710932,Miró Mosaic on the Rambla,Plaza
El Raval,41.37770188577432,2.1735638206956973,Miscelanea Gallery-Shop-Café,Art Gallery
El Raval,41.37679690797597,2.1637083246045337,JOVANI&VINS,Wine Shop
El Raval,41.38338775472929,2.1708123224453963,La Isabela (Hotel 1898),Hotel Pool
El Raval,41.383571,2.16959,Forn Boix,Bakery
