Neighbourhood,Venue Latitude,Venue Longitude,Venue,Venue Category
El Raval,41.37913635868874,2.1605305664737906,Market Hotel,Hotel
El Raval,41.37933211520732,2.1606938905320154,Market Restaurant,Restaurant
El Raval,41.37548207493796,2.1740799897091074,Flea Market Barcelona,Flea Market
El Raval,41.381370483286396,2.1730095231684623,Pasta Market,Italian Restaurant
Barrio Gótico,41.38382208328236,2.170552990259914,Carrefour Market,Supermarket
Barrio Gótico,41.37868150600119,2.170806661398036,Fleadonia Flea Market,Flea Market
"Sant Pere, Santa Caterina i la Ribera",41.388764604678876,2.1847052604855457,Van Van Market,Food Court
"Sant Pere, Santa Caterina i la Ribera",41.39376915734287,2.1774494647979736,Organic Market Sant Joan,Organic Grocery
Sagrada Familia,41.403133,2.177491,Pacífico Latin Food Market,Deli / Bodega
Sagrada Familia,41.4064903,2.1691102,Carrefour Market,Supermarket
La Derecha del Ensanche,41.3973547053957,2.1619731187820435,Woki Organic Market,Fruit & Vegetable Store
La Derecha del Ensanche,41.39433144644542,2.169537339515499,El Racó Ecològic,Vegetarian / Vegan Restaurant
La Derecha del Ensanche,41.397459,2.162196,Organic Market,Organic Grocery
L'Antiga Esquerra de l'Eixample,41.394969,2.153531,Doméstico Market,Furniture / Home Store
L'Antiga Esquerra de l'Eixample,41.390915209318806,2.150514050982502,Dia Market,Food & Drink Shop
La Nova Esquerra de l'Eixample,41.38379996337464,2.14014501798215,Carrefour Market,Supermarket
La Nova Esquerra de l'Eixample,41.384581,2.155806,Organic Market Urgell,Organic Grocery
La Nova Esquerra de l'Eixample,41.38287589364415,2.15746175840188,Dia Market,Convenience Store
Sants,41.375446922357156,2.1284076058982184,Carrefour Market,Supermarket
Sants,41.375535,2.1287,Carrefour Market,Supermarket
Les Corts,41.383706,2.139944,Carrefour Market,Supermarket
La Maternitat i Sant Ramon,41.37634162401221,2.123901844024658,Pizza Market Sants,Pizza Place
Las Tres Torres,41.397838,2.122263,organic market,Market
Las Tres Torres,41.40277050599278,2.1360157206245947,Pizza Market Sarrià,Pizza Place
Sant Gervasi-Galvany,41.39173478821545,2.1415538454252108,Metric Market,Restaurant
Sant Gervasi-Galvany,41.396682199629645,2.1440766197744754,Nomo Market,Japanese Restaurant
Vila de Gràcia,41.40313856545435,2.15402742929361,Woki Organic Market - Gracia,Market
Vila de Gràcia,41.39796134327589,2.157564001803951,The Market Barcelona,Peruvian Restaurant
La Sagrera,41.41983069017928,2.1964032896652754,Carrefour Market,Supermarket
La Sagrera,41.418497769532614,2.189004421234131,Dia Market,Grocery Store
Navas,41.419195568607826,2.17905998669429,Carrefour Market,Supermarket
El Clot,41.41105090441933,2.185581235110501,Dia Market,Convenience Store
El Clot,41.407441900638275,2.1831452938119225,Dia Market Valencia,Grocery Store
Poble Nou,41.39849753693859,2.1956157802311167,Market Cuina,Mediterranean Restaurant
Poble Nou,41.40029771191685,2.2034963003406594,Woki Organic Market,Organic Grocery
Diagonal Mar i Front Marítim del Poblenou,41.40443327710218,2.210289238089355,Palo Alto Market,Flea Market
La Verneda i la Pau,41.42265723948648,2.206896231224211,Dia Market,Grocery Store
