Neighbourhood,Venue Latitude,Venue Longitude,Venue,Venue Category
El Raval,41.37816698183453,2.161389415848057,Casa Ametller,Health Food Store
El Raval,41.38069894523997,2.1749737858772282,Herbolari del Rei,Health Food Store
El Raval,41.37688531339077,2.1631081277581616,Federal Café,Café
El Raval,41.385096222873884,2.1655136346817017,Flax & Kale,Vegetarian / Vegan Restaurant
Barrio Gótico,41.382749,2.168745,Veritas,Organic Grocery
Barrio Gótico,41.38120640974225,2.1781098452947383,Rasoterra,Vegetarian / Vegan Restaurant
Barrio Gótico,41.382577399999995,2.1693409,Biocenter,Vegetarian / Vegan Restaurant
Barrio Gótico,41.38883115969558,2.1772804856300354,51 Concept Store,Cosmetics Shop
Barrio Gótico,41.381958951117966,2.172010882862328,Mercat de Sant Josep - La Boqueria,Market
Barrio Gótico,41.38408212649167,2.1844491846305294,Lulu,Café
Barrio Gótico,41.38846732853221,2.176516735401471,Flax & Kale Passage,Vegetarian / Vegan Restaurant
Barrio Gótico,41.3871462024229,2.180208177551523,Espai Mescladís,Vegetarian / Vegan Restaurant
Barrio Gótico,41.38391493212073,2.169518210128328,Buenas Migas,Café
Barrio Gótico,41.37813386968039,2.1776934705740456,Federal Café Gòtic,Coffee Shop
La Barceloneta,41.383682,2.182502,Vegetalia,Vegetarian / Vegan Restaurant
"Sant Pere, Santa Caterina i la Ribera",41.384770959682285,2.1778113069443017,Veritas,Organic Grocery
"Sant Pere, Santa Caterina i la Ribera",41.39376915734287,2.1774494647979736,Organic Market Sant Joan,Organic Grocery
"Sant Pere, Santa Caterina i la Ribera",41.383691961593904,2.1798739416695465,Teresa's,Vegetarian / Vegan Restaurant
Sagrada Familia,41.40028696423303,2.1667384665920033,Ametller Origen,Organic Grocery
Sagrada Familia,41.4018926159289,2.167193174396961,Veritas,Organic Grocery
La Derecha del Ensanche,41.397354705395706,2.1619731187820435,Woki Organic Market,Organic Grocery
La Derecha del Ensanche,41.388828697843756,2.1648221804565067,Veritas,Organic Grocery
La Derecha del Ensanche,41.397459000000005,2.162196,Organic Market,Organic Grocery
